# real space correlation function weights for w in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 9.987358755729836002e-01
1.000115137033713353e+00 9.987355845610497163e-01
1.000230287323963241e+00 9.987352934821454031e-01
1.000345450872275777e+00 9.987350023362553397e-01
1.000460627680177739e+00 9.987347111233639829e-01
1.000575817749195906e+00 9.987344198434557896e-01
1.000691021080856835e+00 9.987341284965158827e-01
1.000806237676687527e+00 9.987338370825291634e-01
1.000921467538215426e+00 9.987335456014788670e-01
1.001036710666967755e+00 9.987332540533503389e-01
1.001151967064471959e+00 9.987329624381283688e-01
1.001267236732256150e+00 9.987326707557970806e-01
1.001382519671847771e+00 9.987323790063418194e-01
1.001497815884775155e+00 9.987320871897464869e-01
1.001613125372566415e+00 9.987317953059953179e-01
1.001728448136750105e+00 9.987315033550733245e-01
1.001843784178854779e+00 9.987312113369649635e-01
1.001959133500409216e+00 9.987309192516555800e-01
1.002074496102942414e+00 9.987306270991286317e-01
1.002189871987983594e+00 9.987303348793684643e-01
1.002305261157061755e+00 9.987300425923608671e-01
1.002420663611706564e+00 9.987297502380894088e-01
1.002536079353447684e+00 9.987294578165391012e-01
1.002651508383815004e+00 9.987291653276942904e-01
1.002766950704338633e+00 9.987288727715391001e-01
1.002882406316548458e+00 9.987285801480583203e-01
1.002997875221974811e+00 9.987282874572369629e-01
1.003113357422148688e+00 9.987279946990588186e-01
1.003228852918600422e+00 9.987277018735092327e-01
1.003344361712861232e+00 9.987274089805724397e-01
1.003459883806461672e+00 9.987271160202323417e-01
1.003575419200933405e+00 9.987268229924739504e-01
1.003690967897807873e+00 9.987265298972812788e-01
1.003806529898616517e+00 9.987262367346392278e-01
1.003922105204891002e+00 9.987259435045325873e-01
1.004037693818163435e+00 9.987256502069451480e-01
1.004153295739966145e+00 9.987253568418614780e-01
1.004268910971831019e+00 9.987250634092668111e-01
1.004384539515290831e+00 9.987247699091452713e-01
1.004500181371878131e+00 9.987244763414807602e-01
1.004615836543125695e+00 9.987241827062582900e-01
1.004731505030566741e+00 9.987238890034617622e-01
1.004847186835734263e+00 9.987235952330765221e-01
1.004962881960161702e+00 9.987233013950871374e-01
1.005078590405382499e+00 9.987230074894765108e-01
1.005194312172930537e+00 9.987227135162307645e-01
1.005310047264339479e+00 9.987224194753332451e-01
1.005425795681143875e+00 9.987221253667680765e-01
1.005541557424877386e+00 9.987218311905217139e-01
1.005657332497074785e+00 9.987215369465769488e-01
1.005773120899270401e+00 9.987212426349186822e-01
1.005888922632999449e+00 9.987209482555302609e-01
1.006004737699796259e+00 9.987206538083982510e-01
1.006120566101196712e+00 9.987203592935057772e-01
1.006236407838735580e+00 9.987200647108368523e-01
1.006352262913948303e+00 9.987197700603770434e-01
1.006468131328370985e+00 9.987194753421090310e-01
1.006584013083539064e+00 9.987191805560189373e-01
1.006699908180988645e+00 9.987188857020908861e-01
1.006815816622256055e+00 9.987185907803082241e-01
1.006931738408877619e+00 9.987182957906572955e-01
1.007047673542389887e+00 9.987180007331202258e-01
1.007163622024329408e+00 9.987177056076828041e-01
1.007279583856233174e+00 9.987174104143287101e-01
1.007395559039638400e+00 9.987171151530433999e-01
1.007511547576082078e+00 9.987168198238099981e-01
1.007627549467101868e+00 9.987165244266134057e-01
1.007743564714235429e+00 9.987162289614376354e-01
1.007859593319020197e+00 9.987159334282681433e-01
1.007975635282994498e+00 9.987156378270877211e-01
1.008091690607696211e+00 9.987153421578817136e-01
1.008207759294663886e+00 9.987150464206354661e-01
1.008323841345435845e+00 9.987147506153311038e-01
1.008439936761550637e+00 9.987144547419545271e-01
1.008556045544547475e+00 9.987141588004890824e-01
1.008672167695965127e+00 9.987138627909207811e-01
1.008788303217342808e+00 9.987135667132315264e-01
1.008904452110219951e+00 9.987132705674076627e-01
1.009020614376135994e+00 9.987129743534324255e-01
1.009136790016630814e+00 9.987126780712906049e-01
1.009252979033244291e+00 9.987123817209666576e-01
1.009369181427516526e+00 9.987120853024451517e-01
1.009485397200987622e+00 9.987117888157093226e-01
1.009601626355198345e+00 9.987114922607440715e-01
1.009717868891689019e+00 9.987111956375334110e-01
1.009834124812000411e+00 9.987108989460625752e-01
1.009950394117673733e+00 9.987106021863152439e-01
1.010066676810249975e+00 9.987103053582768730e-01
1.010182972891270570e+00 9.987100084619288110e-01
1.010299282362276951e+00 9.987097114972578460e-01
1.010415605224810776e+00 9.987094144642477689e-01
1.010531941480414142e+00 9.987091173628819263e-01
1.010648291130628706e+00 9.987088201931471065e-01
1.010764654176996791e+00 9.987085229550238807e-01
1.010881030621061161e+00 9.987082256484991483e-01
1.010997420464363916e+00 9.987079282735564778e-01
1.011113823708447823e+00 9.987076308301803262e-01
1.011230240354856091e+00 9.987073333183545953e-01
1.011346670405131931e+00 9.987070357380642971e-01
1.011463113860818108e+00 9.987067380892926671e-01
1.011579570723458499e+00 9.987064403720241623e-01
1.011696040994596535e+00 9.987061425862440167e-01
1.011812524675776093e+00 9.987058447319357990e-01
1.011929021768541270e+00 9.987055468090834109e-01
1.012045532274436166e+00 9.987052488176708653e-01
1.012162056195004878e+00 9.987049507576837293e-01
1.012278593531792392e+00 9.987046526291049053e-01
1.012395144286343029e+00 9.987043544319191835e-01
1.012511708460201998e+00 9.987040561661111315e-01
1.012628286054914062e+00 9.987037578316639852e-01
1.012744877072024652e+00 9.987034594285630895e-01
1.012861481513078976e+00 9.987031609567919022e-01
1.012978099379622909e+00 9.987028624163344359e-01
1.013094730673202104e+00 9.987025638071761469e-01
1.013211375395362435e+00 9.987022651292998265e-01
1.013328033547649998e+00 9.987019663826899318e-01
1.013444705131611112e+00 9.987016675673315858e-01
1.013561390148792540e+00 9.987013686832085790e-01
1.013678088600740601e+00 9.987010697303045914e-01
1.013794800489002057e+00 9.987007707086037467e-01
1.013911525815124337e+00 9.987004716180908348e-01
1.014028264580654426e+00 9.987001724587496465e-01
1.014145016787139753e+00 9.986998732305643056e-01
1.014261782436127746e+00 9.986995739335196021e-01
1.014378561529166278e+00 9.986992745675991046e-01
1.014495354067803001e+00 9.986989751327871589e-01
1.014612160053586232e+00 9.986986756290677780e-01
1.014728979488064287e+00 9.986983760564253076e-01
1.014845812372785483e+00 9.986980764148430945e-01
1.014962658709298582e+00 9.986977767043072607e-01
1.015079518499152123e+00 9.986974769247997097e-01
1.015196391743895088e+00 9.986971770763062306e-01
1.015313278445076905e+00 9.986968771588097260e-01
1.015430178604246780e+00 9.986965771722949858e-01
1.015547092222954362e+00 9.986962771167461339e-01
1.015664019302749077e+00 9.986959769921481822e-01
1.015780959845181020e+00 9.986956767984824790e-01
1.015897913851799839e+00 9.986953765357364787e-01
1.016014881324156294e+00 9.986950762038916407e-01
1.016131862263800700e+00 9.986947758029343092e-01
1.016248856672283152e+00 9.986944753328460544e-01
1.016365864551155074e+00 9.986941747936136649e-01
1.016482885901966782e+00 9.986938741852194878e-01
1.016599920726269923e+00 9.986935735076479803e-01
1.016716969025615480e+00 9.986932727608829330e-01
1.016834030801555100e+00 9.986929719449100240e-01
1.016951106055640430e+00 9.986926710597113788e-01
1.017068194789423119e+00 9.986923701052722313e-01
1.017185297004455258e+00 9.986920690815754842e-01
1.017302412702289161e+00 9.986917679886073707e-01
