# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 7.933526124725578208e-07
1.000115137033713353e+00 7.935158949293118839e-07
1.000230287323963241e+00 7.936790601457161122e-07
1.000345450872275777e+00 7.939112642005686396e-07
1.000460627680177739e+00 7.940050390387832077e-07
1.000575817749195906e+00 7.943061011919620856e-07
1.000691021080856835e+00 7.944687660706027009e-07
1.000806237676687527e+00 7.946313139427270908e-07
1.000921467538215426e+00 7.947937448535896846e-07
1.001036710666967755e+00 7.950251194043212994e-07
1.001151967064471959e+00 7.951873006282595985e-07
1.001267236732256150e+00 7.952803362709428239e-07
1.001382519671847771e+00 7.955803255221089336e-07
1.001497815884775155e+00 7.957421405267235581e-07
1.001613125372566415e+00 7.958348577566738974e-07
1.001728448136750105e+00 7.960654205329431942e-07
1.001843784178854779e+00 7.962268856248364122e-07
1.001959133500409216e+00 7.963882341694191882e-07
1.002074496102942414e+00 7.965494662117986736e-07
1.002189871987983594e+00 7.968483852359333080e-07
1.002305261157061755e+00 7.970093526820926498e-07
1.002420663611706564e+00 7.971702037685886760e-07
1.002536079353447684e+00 7.973997926802392095e-07
1.002651508383815004e+00 7.975603953299517383e-07
1.002766950704338633e+00 7.977208817587484421e-07
1.002882406316548458e+00 7.979500586045978442e-07
1.002997875221974811e+00 7.981790876362474099e-07
1.003113357422148688e+00 7.982704190829421000e-07
1.003228852918600422e+00 7.984304252436186299e-07
1.003344361712861232e+00 7.987278019084789638e-07
1.003459883806461672e+00 7.988188170539376277e-07
1.003575419200933405e+00 7.990471711466044689e-07
1.003690967897807873e+00 7.992066819676625077e-07
1.003806529898616517e+00 7.994347569451718783e-07
1.003922105204891002e+00 7.995940203876440455e-07
1.004037693818163435e+00 7.997531681179952914e-07
1.004153295739966145e+00 7.999122001810651052e-07
1.004268910971831019e+00 8.002083500893667275e-07
1.004384539515290831e+00 8.002299174846458650e-07
