# real space correlation function weights for Xi_- in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 7.079784314261168191e-11
1.000115137033713353e+00 8.187238463164786317e-11
1.000230287323963241e+00 9.339390859813063748e-11
1.000345450872275777e+00 7.810535499455098917e-11
1.000460627680177739e+00 1.165343351654141622e-10
1.000575817749195906e+00 1.030509904359411514e-10
1.000691021080856835e+00 7.900167389840161441e-11
1.000806237676687527e+00 7.590826853985222257e-11
1.000921467538215426e+00 8.122350412122238666e-11
1.001036710666967755e+00 8.241449583680584753e-11
1.001151967064471959e+00 9.631094317789155906e-11
1.001267236732256150e+00 1.201703084179099795e-10
1.001382519671847771e+00 8.280251354536391073e-11
1.001497815884775155e+00 8.905874946476464487e-11
1.001613125372566415e+00 8.242838646873090790e-11
1.001728448136750105e+00 8.462744563488341643e-11
1.001843784178854779e+00 8.804590247141752893e-11
1.001959133500409216e+00 8.020169373951949428e-11
1.002074496102942414e+00 8.768457046268567550e-11
1.002189871987983594e+00 9.313197334987357966e-11
1.002305261157061755e+00 7.431956794101447855e-11
1.002420663611706564e+00 8.223220365971833238e-11
1.002536079353447684e+00 8.000714243480314130e-11
1.002651508383815004e+00 6.495895041284208506e-11
1.002766950704338633e+00 7.828195130257082445e-11
1.002882406316548458e+00 9.289762683496552915e-11
1.002997875221974811e+00 7.200617138142066913e-11
1.003113357422148688e+00 8.603547257984443719e-11
1.003228852918600422e+00 1.030559592718264039e-10
1.003344361712861232e+00 8.630083250123151780e-11
1.003459883806461672e+00 9.641775857662441238e-11
1.003575419200933405e+00 8.204233018342889971e-11
1.003690967897807873e+00 8.919394820455006427e-11
1.003806529898616517e+00 1.249290475655679169e-10
1.003922105204891002e+00 8.927758060777065754e-11
1.004037693818163435e+00 9.635638745427879618e-11
1.004153295739966145e+00 7.541331325217564591e-11
1.004268910971831019e+00 8.215306758866157248e-11
1.004384539515290831e+00 7.989268134235482841e-11
1.004500181371878131e+00 8.543211848541649645e-11
1.004615836543125695e+00 7.669781580728693455e-11
1.004731505030566741e+00 8.991798491096345963e-11
1.004847186835734263e+00 8.845773720583808231e-11
1.004962881960161702e+00 1.279539081523662961e-10
1.005078590405382499e+00 1.183919804070461155e-10
1.005194312172930537e+00 8.144733187434421938e-11
1.005310047264339479e+00 8.728627398076847496e-11
1.005425795681143875e+00 9.931588074991549300e-11
1.005541557424877386e+00 8.097927995593637215e-11
1.005657332497074785e+00 7.816666040030951852e-11
1.005773120899270401e+00 9.310939302787829437e-11
1.005888922632999449e+00 7.958601620021573987e-11
1.006004737699796259e+00 8.830543955981133379e-11
1.006120566101196712e+00 8.759974716265292076e-11
1.006236407838735580e+00 1.233063665732574332e-10
1.006352262913948303e+00 9.599033997195577127e-11
1.006468131328370985e+00 8.055020588379729117e-11
1.006584013083539064e+00 8.407462765282677447e-11
1.006699908180988645e+00 8.945980883267303964e-11
1.006815816622256055e+00 9.413093244737456999e-11
1.006931738408877619e+00 8.101111953457320596e-11
1.007047673542389887e+00 8.621948273590251031e-11
1.007163622024329408e+00 8.784672871740349325e-11
1.007279583856233174e+00 7.850228105113844327e-11
1.007395559039638400e+00 1.281025764938543195e-10
1.007511547576082078e+00 9.398210769924800879e-11
1.007627549467101868e+00 1.233454325865779857e-10
1.007743564714235429e+00 9.773339301372124166e-11
1.007859593319020197e+00 9.186556256888786881e-11
1.007975635282994498e+00 9.836225333222376621e-11
1.008091690607696211e+00 8.090753790950920248e-11
1.008207759294663886e+00 7.556911709187394705e-11
1.008323841345435845e+00 9.427413265178582539e-11
1.008439936761550637e+00 1.007320483451279051e-10
1.008556045544547475e+00 8.278728796713754001e-11
1.008672167695965127e+00 9.094380223123448447e-11
1.008788303217342808e+00 8.893924196856825525e-11
1.008904452110219951e+00 7.908525260287995974e-11
1.009020614376135994e+00 8.776806676380910964e-11
1.009136790016630814e+00 8.358222110358608957e-11
1.009252979033244291e+00 8.809825218863967334e-11
1.009369181427516526e+00 9.399731598588625674e-11
1.009485397200987622e+00 8.915898043274058256e-11
1.009601626355198345e+00 9.033563384426502097e-11
1.009717868891689019e+00 1.142698166093862647e-10
1.009834124812000411e+00 9.114529807956828980e-11
1.009950394117673733e+00 1.146484557676095653e-10
1.010066676810249975e+00 9.095580329969813655e-11
1.010182972891270570e+00 1.185205908017931079e-10
1.010299282362276951e+00 8.915698628464544780e-11
1.010415605224810776e+00 9.167468612202757978e-11
1.010531941480414142e+00 8.997788566146184909e-11
1.010648291130628706e+00 8.160479909577809851e-11
1.010764654176996791e+00 6.889778257885824135e-11
1.010881030621061161e+00 8.778381805214164001e-11
1.010997420464363916e+00 1.166021302190464396e-10
1.011113823708447823e+00 8.095716438167765424e-11
1.011230240354856091e+00 1.031050717489733719e-10
1.011346670405131931e+00 8.948936400379377397e-11
1.011463113860818108e+00 1.095723991963732830e-10
1.011579570723458499e+00 1.081932502611305203e-10
1.011696040994596535e+00 7.814246646047432467e-11
1.011812524675776093e+00 8.884139908799792936e-11
1.011929021768541270e+00 8.995637233088724238e-11
1.012045532274436166e+00 8.385636514369976482e-11
1.012162056195004878e+00 9.205259518015958856e-11
1.012278593531792392e+00 8.819513542421804487e-11
1.012395144286343029e+00 9.857798106376524806e-11
1.012511708460201998e+00 8.252347394127178426e-11
1.012628286054914062e+00 9.023094728241563521e-11
1.012744877072024652e+00 6.670043083968805109e-11
1.012861481513078976e+00 7.645750700583795855e-11
1.012978099379622909e+00 9.796953364960460056e-11
1.013094730673202104e+00 9.539635563774044294e-11
1.013211375395362435e+00 1.141197787087510869e-10
1.013328033547649998e+00 8.011825596321776461e-11
1.013444705131611112e+00 8.651253211533891893e-11
1.013561390148792540e+00 1.213500941029328455e-10
1.013678088600740601e+00 1.249741265139895596e-10
1.013794800489002057e+00 7.595082336640282878e-11
1.013911525815124337e+00 9.117632825627349337e-11
1.014028264580654426e+00 8.717733305250236335e-11
1.014145016787139753e+00 9.973849761549143345e-11
1.014261782436127746e+00 7.406319813180507700e-11
1.014378561529166278e+00 7.928919798746427886e-11
1.014495354067803001e+00 9.398555579129827002e-11
1.014612160053586232e+00 9.198163692055879870e-11
1.014728979488064287e+00 8.522408958200543499e-11
1.014845812372785483e+00 9.517202934657843481e-11
1.014962658709298582e+00 9.567806033929542919e-11
1.015079518499152123e+00 8.916404768613528911e-11
1.015196391743895088e+00 9.232917080877508628e-11
1.015313278445076905e+00 9.332272155722800405e-11
1.015430178604246780e+00 9.932672229599954048e-11
1.015547092222954362e+00 8.424338737767383494e-11
1.015664019302749077e+00 8.853858899893537181e-11
1.015780959845181020e+00 8.612199940292680374e-11
1.015897913851799839e+00 8.893375361529439387e-11
1.016014881324156294e+00 8.040976102611057101e-11
1.016131862263800700e+00 8.673952317482288254e-11
1.016248856672283152e+00 1.245919647550529989e-10
1.016365864551155074e+00 8.248509108083324707e-11
1.016482885901966782e+00 9.103375657874240024e-11
1.016599920726269923e+00 7.674833599208000637e-11
1.016716969025615480e+00 8.952246330415968621e-11
1.016834030801555100e+00 8.911433310825766669e-11
1.016951106055640430e+00 8.746843348908683808e-11
1.017068194789423119e+00 8.230250819844447053e-11
1.017185297004455258e+00 9.503133352123654829e-11
1.017302412702289161e+00 9.967940046279346596e-11
1.017419541884477141e+00 1.223977938581606697e-10
1.017536684552571513e+00 8.987422563750902703e-11
1.017653840708125479e+00 8.509406112929316235e-11
1.017771010352691574e+00 8.684282812115344614e-11
1.017888193487823001e+00 6.919689393884428306e-11
1.018005390115072961e+00 8.668200510189447839e-11
1.018122600235994879e+00 8.499320508029938902e-11
1.018239823852142623e+00 8.080826237943432078e-11
1.018357060965069616e+00 1.144291597443741707e-10
1.018474311576330171e+00 1.363235247269465553e-10
1.018591575687478157e+00 9.700026288885486021e-11
1.018708853300068329e+00 7.930771422852474256e-11
1.018826144415654777e+00 9.043805478332327780e-11
1.018943449035792259e+00 9.980978251056772616e-11
1.019060767162035752e+00 9.103350630733409936e-11
1.019178098795940457e+00 9.965709504799559587e-11
1.019295443939061352e+00 9.513394358388423450e-11
1.019412802592954082e+00 9.412697401741369016e-11
1.019530174759173846e+00 9.441880477719485373e-11
1.019647560439276957e+00 1.032285060916543572e-10
1.019764959634818835e+00 8.534104978008541151e-11
1.019882372347356014e+00 1.139857328810136855e-10
1.019999798578444583e+00 1.256661639277539674e-10
1.020117238329641074e+00 8.992963511337792024e-11
1.020234691602502020e+00 8.939649144043234932e-11
