# real space correlation function weights for Xi_+ in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 9.999552074243669431e-01
1.000115137033713353e+00 9.999551971093303404e-01
1.000230287323963241e+00 9.999551867919175274e-01
1.000345450872275777e+00 9.999551764721299474e-01
1.000460627680177739e+00 9.999551661499640476e-01
1.000575817749195906e+00 9.999551558254223815e-01
1.000691021080856835e+00 9.999551454985037280e-01
1.000806237676687527e+00 9.999551351692061996e-01
1.000921467538215426e+00 9.999551248375299073e-01
1.001036710666967755e+00 9.999551145034748512e-01
1.001151967064471959e+00 9.999551041670396989e-01
1.001267236732256150e+00 9.999550938282235624e-01
1.001382519671847771e+00 9.999550834870289950e-01
1.001497815884775155e+00 9.999550731434513340e-01
1.001613125372566415e+00 9.999550627974919115e-01
1.001728448136750105e+00 9.999550524491500614e-01
1.001843784178854779e+00 9.999550420984253396e-01
1.001959133500409216e+00 9.999550317453161918e-01
1.002074496102942414e+00 9.999550213898232842e-01
1.002189871987983594e+00 9.999550110319459506e-01
1.002305261157061755e+00 9.999550006716836359e-01
1.002420663611706564e+00 9.999549903090348968e-01
1.002536079353447684e+00 9.999549799440006215e-01
1.002651508383815004e+00 9.999549695765794777e-01
1.002766950704338633e+00 9.999549592067704662e-01
1.002882406316548458e+00 9.999549488345736981e-01
1.002997875221974811e+00 9.999549384599878410e-01
1.003113357422148688e+00 9.999549280830131170e-01
1.003228852918600422e+00 9.999549177036485270e-01
1.003344361712861232e+00 9.999549073218942929e-01
1.003459883806461672e+00 9.999548969377489716e-01
1.003575419200933405e+00 9.999548865512130069e-01
1.003690967897807873e+00 9.999548761622846227e-01
1.003806529898616517e+00 9.999548657709633748e-01
1.003922105204891002e+00 9.999548553772508175e-01
1.004037693818163435e+00 9.999548449811437312e-01
1.004153295739966145e+00 9.999548345826430040e-01
1.004268910971831019e+00 9.999548241817470817e-01
1.004384539515290831e+00 9.999548137784560753e-01
1.004500181371878131e+00 9.999548033727698737e-01
1.004615836543125695e+00 9.999547929646872557e-01
1.004731505030566741e+00 9.999547825542072221e-01
1.004847186835734263e+00 9.999547721413301060e-01
1.004962881960161702e+00 9.999547617260553523e-01
1.005078590405382499e+00 9.999547513083821837e-01
1.005194312172930537e+00 9.999547408883112665e-01
1.005310047264339479e+00 9.999547304658391589e-01
1.005425795681143875e+00 9.999547200409670822e-01
1.005541557424877386e+00 9.999547096136952584e-01
1.005657332497074785e+00 9.999546991840212451e-01
1.005773120899270401e+00 9.999546887519457083e-01
1.005888922632999449e+00 9.999546783174677600e-01
1.006004737699796259e+00 9.999546678805869560e-01
1.006120566101196712e+00 9.999546574413028521e-01
1.006236407838735580e+00 9.999546469996143383e-01
1.006352262913948303e+00 9.999546365555230798e-01
1.006468131328370985e+00 9.999546261090257460e-01
1.006584013083539064e+00 9.999546156601222258e-01
1.006699908180988645e+00 9.999546052088125192e-01
1.006815816622256055e+00 9.999545947550959601e-01
1.006931738408877619e+00 9.999545842989725486e-01
1.007047673542389887e+00 9.999545738404413964e-01
1.007163622024329408e+00 9.999545633795013932e-01
1.007279583856233174e+00 9.999545529161525392e-01
1.007395559039638400e+00 9.999545424503933910e-01
1.007511547576082078e+00 9.999545319822259470e-01
1.007627549467101868e+00 9.999545215116467656e-01
1.007743564714235429e+00 9.999545110386569569e-01
1.007859593319020197e+00 9.999545005632556327e-01
1.007975635282994498e+00 9.999544900854409057e-01
1.008091690607696211e+00 9.999544796052143303e-01
1.008207759294663886e+00 9.999544691225736859e-01
1.008323841345435845e+00 9.999544586375190836e-01
1.008439936761550637e+00 9.999544481500501902e-01
1.008556045544547475e+00 9.999544376601664508e-01
1.008672167695965127e+00 9.999544271678671992e-01
1.008788303217342808e+00 9.999544166731514361e-01
1.008904452110219951e+00 9.999544061760188285e-01
1.009020614376135994e+00 9.999543956764690433e-01
1.009136790016630814e+00 9.999543851745015255e-01
1.009252979033244291e+00 9.999543746701153868e-01
1.009369181427516526e+00 9.999543641633099611e-01
1.009485397200987622e+00 9.999543536540852484e-01
1.009601626355198345e+00 9.999543431424406936e-01
1.009717868891689019e+00 9.999543326283747424e-01
1.009834124812000411e+00 9.999543221118888381e-01
1.009950394117673733e+00 9.999543115929802051e-01
1.010066676810249975e+00 9.999543010716499536e-01
1.010182972891270570e+00 9.999542905478961963e-01
1.010299282362276951e+00 9.999542800217203764e-01
1.010415605224810776e+00 9.999542694931193854e-01
1.010531941480414142e+00 9.999542589620937783e-01
1.010648291130628706e+00 9.999542484286434441e-01
1.010764654176996791e+00 9.999542378927674946e-01
1.010881030621061161e+00 9.999542273544644866e-01
1.010997420464363916e+00 9.999542168137350862e-01
1.011113823708447823e+00 9.999542062705792933e-01
1.011230240354856091e+00 9.999541957249942215e-01
1.011346670405131931e+00 9.999541851769822021e-01
1.011463113860818108e+00 9.999541746265402375e-01
1.011579570723458499e+00 9.999541640736684389e-01
1.011696040994596535e+00 9.999541535183676944e-01
1.011812524675776093e+00 9.999541429606353393e-01
1.011929021768541270e+00 9.999541324004715959e-01
1.012045532274436166e+00 9.999541218378761309e-01
1.012162056195004878e+00 9.999541112728480563e-01
1.012278593531792392e+00 9.999541007053882602e-01
1.012395144286343029e+00 9.999540901354937450e-01
1.012511708460201998e+00 9.999540795631661760e-01
1.012628286054914062e+00 9.999540689884036659e-01
1.012744877072024652e+00 9.999540584112062147e-01
1.012861481513078976e+00 9.999540478315722680e-01
1.012978099379622909e+00 9.999540372495018259e-01
1.013094730673202104e+00 9.999540266649948883e-01
1.013211375395362435e+00 9.999540160780505671e-01
1.013328033547649998e+00 9.999540054886683071e-01
1.013444705131611112e+00 9.999539948968474423e-01
1.013561390148792540e+00 9.999539843025868624e-01
1.013678088600740601e+00 9.999539737058877886e-01
1.013794800489002057e+00 9.999539631067486667e-01
1.013911525815124337e+00 9.999539525051688305e-01
1.014028264580654426e+00 9.999539419011469477e-01
1.014145016787139753e+00 9.999539312946829073e-01
1.014261782436127746e+00 9.999539206857768203e-01
1.014378561529166278e+00 9.999539100744273545e-01
1.014495354067803001e+00 9.999538994606339548e-01
1.014612160053586232e+00 9.999538888443972873e-01
1.014728979488064287e+00 9.999538782257155756e-01
1.014845812372785483e+00 9.999538676045880425e-01
1.014962658709298582e+00 9.999538569810156874e-01
1.015079518499152123e+00 9.999538463549965117e-01
1.015196391743895088e+00 9.999538357265302935e-01
1.015313278445076905e+00 9.999538250956164775e-01
1.015430178604246780e+00 9.999538144622541758e-01
1.015547092222954362e+00 9.999538038264441653e-01
1.015664019302749077e+00 9.999537931881837816e-01
1.015780959845181020e+00 9.999537825474740238e-01
1.015897913851799839e+00 9.999537719043140038e-01
1.016014881324156294e+00 9.999537612587032775e-01
1.016131862263800700e+00 9.999537506106412899e-01
1.016248856672283152e+00 9.999537399601258203e-01
1.016365864551155074e+00 9.999537293071599775e-01
1.016482885901966782e+00 9.999537186517395426e-01
1.016599920726269923e+00 9.999537079938655149e-01
1.016716969025615480e+00 9.999536973335371171e-01
1.016834030801555100e+00 9.999536866707533500e-01
1.016951106055640430e+00 9.999536760055153239e-01
1.017068194789423119e+00 9.999536653378203743e-01
1.017185297004455258e+00 9.999536546676692783e-01
1.017302412702289161e+00 9.999536439950602595e-01
1.017419541884477141e+00 9.999536333199938731e-01
1.017536684552571513e+00 9.999536226424710073e-01
1.017653840708125479e+00 9.999536119624878872e-01
1.017771010352691574e+00 9.999536012800450679e-01
1.017888193487823001e+00 9.999535905951429937e-01
1.018005390115072961e+00 9.999535799077792220e-01
1.018122600235994879e+00 9.999535692179553070e-01
1.018239823852142623e+00 9.999535585256694725e-01
1.018357060965069616e+00 9.999535478309209413e-01
1.018474311576330171e+00 9.999535371337098244e-01
1.018591575687478157e+00 9.999535264340355667e-01
1.018708853300068329e+00 9.999535157318988343e-01
1.018826144415654777e+00 9.999535050272960746e-01
1.018943449035792259e+00 9.999534943202276205e-01
1.019060767162035752e+00 9.999534836106949154e-01
1.019178098795940457e+00 9.999534728986942955e-01
1.019295443939061352e+00 9.999534621842284254e-01
1.019412802592954082e+00 9.999534514672944185e-01
1.019530174759173846e+00 9.999534407478923859e-01
1.019647560439276957e+00 9.999534300260226605e-01
1.019764959634818835e+00 9.999534193016836880e-01
1.019882372347356014e+00 9.999534085748746914e-01
1.019999798578444583e+00 9.999533978455950045e-01
1.020117238329641074e+00 9.999533871138468477e-01
1.020234691602502020e+00 9.999533763796256691e-01
1.020352158398584619e+00 9.999533656429322459e-01
1.020469638719445626e+00 9.999533549037672442e-01
1.020587132566642241e+00 9.999533441621285546e-01
1.020704639941731884e+00 9.999533334180162880e-01
1.020822160846272197e+00 9.999533226714298895e-01
1.020939695281820825e+00 9.999533119223693589e-01
1.021057243249935853e+00 9.999533011708322539e-01
1.021174804752175147e+00 9.999532904168214609e-01
1.021292379790097016e+00 9.999532796603326501e-01
1.021409968365259990e+00 9.999532689013672648e-01
1.021527570479222824e+00 9.999532581399239728e-01
1.021645186133544048e+00 9.999532473760024409e-01
1.021762815329783081e+00 9.999532366096017810e-01
1.021880458069498676e+00 9.999532258407225482e-01
1.021998114354250253e+00 9.999532150693634103e-01
1.022115784185597676e+00 9.999532042955235900e-01
1.022233467565100362e+00 9.999531935192021992e-01
1.022351164494318176e+00 9.999531827404007922e-01
1.022468874974811426e+00 9.999531719591153722e-01
1.022586599008140196e+00 9.999531611753493809e-01
1.022704336595865016e+00 9.999531503890988215e-01
1.022822087739546415e+00 9.999531396003643602e-01
1.022939852440745145e+00 9.999531288091458858e-01
1.023057630701022180e+00 9.999531180154419552e-01
1.023175422521938938e+00 9.999531072192524572e-01
1.023293227905056391e+00 9.999530964205768369e-01
1.023411046851936401e+00 9.999530856194142059e-01
1.023528879364140387e+00 9.999530748157643423e-01
1.023646725443230210e+00 9.999530640096270240e-01
1.023764585090768175e+00 9.999530532010019179e-01
1.023882458308316146e+00 9.999530423898870257e-01
1.024000345097436870e+00 9.999530315762823474e-01
1.024118245459692877e+00 9.999530207601869947e-01
1.024236159396646695e+00 9.999530099416015227e-01
1.024354086909861516e+00 9.999529991205252655e-01
1.024472028000900314e+00 9.999529882969565575e-01
1.024589982671326727e+00 9.999529774708948437e-01
1.024707950922703725e+00 9.999529666423403462e-01
1.024825932756595392e+00 9.999529558112923988e-01
1.024943928174565588e+00 9.999529449777497803e-01
1.025061937178177951e+00 9.999529341417131567e-01
1.025179959768997229e+00 9.999529233031820841e-01
1.025297995948587282e+00 9.999529124621542309e-01
1.025416045718512859e+00 9.999529016186299302e-01
1.025534109080338929e+00 9.999528907726080718e-01
1.025652186035630242e+00 9.999528799240885446e-01
1.025770276585951990e+00 9.999528690730711267e-01
1.025888380732869365e+00 9.999528582195543747e-01
1.026006498477948004e+00 9.999528473635386217e-01
1.026124629822753320e+00 9.999528365050229795e-01
1.026242774768851174e+00 9.999528256440070040e-01
1.026360933317807866e+00 9.999528147804908063e-01
1.026479105471189257e+00 9.999528039144727209e-01
1.026597291230561870e+00 9.999527930459508607e-01
1.026715490597492231e+00 9.999527821749270018e-01
1.026833703573547085e+00 9.999527713013995900e-01
1.026951930160293402e+00 9.999527604253680702e-01
1.027070170359298151e+00 9.999527495468323313e-01
1.027188424172128745e+00 9.999527386657915962e-01
1.027306691600352595e+00 9.999527277822449767e-01
1.027424972645537338e+00 9.999527168961913626e-01
1.027543267309250608e+00 9.999527060076317531e-01
1.027661575593060705e+00 9.999526951165642608e-01
1.027779897498535711e+00 9.999526842229905510e-01
1.027898233027243702e+00 9.999526733269061829e-01
1.028016582180753646e+00 9.999526624283135989e-01
1.028134944960634067e+00 9.999526515272108007e-01
1.028253321368453932e+00 9.999526406235975662e-01
1.028371711405781985e+00 9.999526297174737843e-01
1.028490115074188083e+00 9.999526188088381229e-01
1.028608532375240969e+00 9.999526078976912480e-01
1.028726963310510945e+00 9.999525969840300510e-01
1.028845407881567420e+00 9.999525860678580846e-01
1.028963866089980472e+00 9.999525751491710190e-01
1.029082337937320180e+00 9.999525642279692983e-01
1.029200823425157063e+00 9.999525533042532555e-01
1.029319322555061422e+00 9.999525423780213362e-01
1.029437835328604223e+00 9.999525314492730965e-01
1.029556361747356208e+00 9.999525205180084253e-01
1.029674901812888566e+00 9.999525095842259903e-01
1.029793455526772261e+00 9.999524986479266797e-01
1.029912022890578926e+00 9.999524877091078290e-01
1.030030603905880193e+00 9.999524767677705483e-01
1.030149198574247915e+00 9.999524658239132835e-01
1.030267806897253946e+00 9.999524548775375887e-01
1.030386428876470362e+00 9.999524439286394673e-01
1.030505064513469682e+00 9.999524329772206954e-01
1.030623713809824205e+00 9.999524220232796079e-01
1.030742376767106894e+00 9.999524110668160937e-01
1.030861053386890491e+00 9.999524001078291535e-01
1.030979743670747961e+00 9.999523891463185654e-01
1.031098447620252712e+00 9.999523781822842183e-01
1.031217165236978150e+00 9.999523672157242249e-01
1.031335896522497686e+00 9.999523562466396953e-01
1.031454641478385392e+00 9.999523452750301855e-01
1.031573400106215121e+00 9.999523343008930309e-01
1.031692172407560726e+00 9.999523233242287867e-01
1.031810958383996946e+00 9.999523123450370088e-01
1.031929758037098299e+00 9.999523013633163648e-01
1.032048571368439083e+00 9.999522903790674100e-01
1.032167398379594481e+00 9.999522793922881458e-01
1.032286239072139455e+00 9.999522684029796826e-01
1.032405093447649413e+00 9.999522574111397999e-01
1.032523961507699317e+00 9.999522464167698299e-01
1.032642843253865239e+00 9.999522354198665530e-01
1.032761738687722808e+00 9.999522244204329668e-01
1.032880647810847874e+00 9.999522134184652966e-01
1.032999570624816732e+00 9.999522024139639864e-01
1.033118507131205677e+00 9.999521914069280371e-01
1.033237457331591003e+00 9.999521803973585587e-01
1.033356421227549671e+00 9.999521693852525539e-01
1.033475398820658420e+00 9.999521583706115768e-01
1.033594390112494210e+00 9.999521473534334071e-01
1.033713395104634447e+00 9.999521363337181556e-01
1.033832413798656535e+00 9.999521253114654895e-01
1.033951446196137880e+00 9.999521142866749646e-01
1.034070492298656552e+00 9.999521032593465808e-01
