# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.000000000000000000e+00 0.000000000000000000e+00
2.000100216218757776e+00 0.000000000000000000e+00
2.000200437459160874e+00 0.000000000000000000e+00
2.000300663721460648e+00 0.000000000000000000e+00
2.000400895005908897e+00 0.000000000000000000e+00
2.000501131312757419e+00 0.000000000000000000e+00
2.000601372642258013e+00 0.000000000000000000e+00
2.000701618994662034e+00 0.000000000000000000e+00
2.000801870370220836e+00 0.000000000000000000e+00
2.000902126769187106e+00 0.000000000000000000e+00
2.001002388191811754e+00 0.000000000000000000e+00
2.001102654638346579e+00 0.000000000000000000e+00
2.001202926109043378e+00 0.000000000000000000e+00
2.001303202604154396e+00 0.000000000000000000e+00
2.001403484123930543e+00 0.000000000000000000e+00
2.001503770668624504e+00 0.000000000000000000e+00
2.001604062238487192e+00 0.000000000000000000e+00
2.001704358833771291e+00 0.000000000000000000e+00
2.001804660454727713e+00 0.000000000000000000e+00
2.001904967101609145e+00 0.000000000000000000e+00
2.002005278774666497e+00 0.000000000000000000e+00
2.002105595474152455e+00 0.000000000000000000e+00
2.002205917200318819e+00 0.000000000000000000e+00
2.002306243953416942e+00 0.000000000000000000e+00
2.002406575733698624e+00 0.000000000000000000e+00
2.002506912541416551e+00 0.000000000000000000e+00
2.002607254376822077e+00 0.000000000000000000e+00
2.002707601240167445e+00 0.000000000000000000e+00
2.002807953131704455e+00 0.000000000000000000e+00
2.002908310051684904e+00 0.000000000000000000e+00
2.003008672000360590e+00 0.000000000000000000e+00
2.003109038977984202e+00 0.000000000000000000e+00
2.003209410984807093e+00 0.000000000000000000e+00
2.003309788021081506e+00 0.000000000000000000e+00
2.003410170087059239e+00 0.000000000000000000e+00
2.003510557182992979e+00 0.000000000000000000e+00
2.003610949309134082e+00 0.000000000000000000e+00
2.003711346465734788e+00 0.000000000000000000e+00
2.003811748653046898e+00 0.000000000000000000e+00
2.003912155871323098e+00 0.000000000000000000e+00
2.004012568120815185e+00 0.000000000000000000e+00
2.004112985401775404e+00 0.000000000000000000e+00
2.004213407714455553e+00 0.000000000000000000e+00
2.004313835059107873e+00 0.000000000000000000e+00
2.004414267435984609e+00 0.000000000000000000e+00
2.004514704845338002e+00 0.000000000000000000e+00
2.004615147287419852e+00 0.000000000000000000e+00
2.004715594762482844e+00 0.000000000000000000e+00
2.004816047270778334e+00 0.000000000000000000e+00
2.004916504812559896e+00 0.000000000000000000e+00
2.005016967388078442e+00 0.000000000000000000e+00
2.005117434997586656e+00 0.000000000000000000e+00
2.005217907641337227e+00 0.000000000000000000e+00
2.005318385319581509e+00 0.000000000000000000e+00
2.005418868032572632e+00 0.000000000000000000e+00
2.005519355780562840e+00 0.000000000000000000e+00
2.005619848563803931e+00 0.000000000000000000e+00
2.005720346382548147e+00 0.000000000000000000e+00
2.005820849237048176e+00 0.000000000000000000e+00
2.005921357127556259e+00 0.000000000000000000e+00
2.006021870054324641e+00 0.000000000000000000e+00
2.006122388017605562e+00 0.000000000000000000e+00
2.006222911017651711e+00 0.000000000000000000e+00
2.006323439054715330e+00 0.000000000000000000e+00
2.006423972129049105e+00 0.000000000000000000e+00
2.006524510240904835e+00 0.000000000000000000e+00
2.006625053390535207e+00 0.000000000000000000e+00
2.006725601578192908e+00 0.000000000000000000e+00
2.006826154804130180e+00 0.000000000000000000e+00
2.006926713068599710e+00 0.000000000000000000e+00
2.007027276371853297e+00 0.000000000000000000e+00
2.007127844714144516e+00 0.000000000000000000e+00
2.007228418095724720e+00 0.000000000000000000e+00
2.007328996516847042e+00 0.000000000000000000e+00
2.007429579977763723e+00 0.000000000000000000e+00
2.007530168478727894e+00 0.000000000000000000e+00
2.007630762019991355e+00 0.000000000000000000e+00
2.007731360601806792e+00 0.000000000000000000e+00
2.007831964224427335e+00 0.000000000000000000e+00
2.007932572888105227e+00 0.000000000000000000e+00
2.008033186593092712e+00 0.000000000000000000e+00
2.008133805339642919e+00 0.000000000000000000e+00
2.008234429128008536e+00 0.000000000000000000e+00
2.008335057958441805e+00 0.000000000000000000e+00
2.008435691831195413e+00 0.000000000000000000e+00
2.008536330746522047e+00 0.000000000000000000e+00
2.008636974704674394e+00 0.000000000000000000e+00
2.008737623705905584e+00 0.000000000000000000e+00
2.008838277750467416e+00 0.000000000000000000e+00
2.008938936838613465e+00 0.000000000000000000e+00
2.009039600970595973e+00 0.000000000000000000e+00
2.009140270146668072e+00 0.000000000000000000e+00
2.009240944367082005e+00 0.000000000000000000e+00
2.009341623632090901e+00 0.000000000000000000e+00
2.009442307941947448e+00 0.000000000000000000e+00
2.009542997296904332e+00 0.000000000000000000e+00
2.009643691697214685e+00 0.000000000000000000e+00
2.009744391143130748e+00 0.000000000000000000e+00
2.009845095634905654e+00 0.000000000000000000e+00
2.009945805172792088e+00 0.000000000000000000e+00
2.010046519757043626e+00 0.000000000000000000e+00
2.010147239387912066e+00 0.000000000000000000e+00
2.010247964065650983e+00 0.000000000000000000e+00
2.010348693790513064e+00 0.000000000000000000e+00
2.010449428562751439e+00 0.000000000000000000e+00
2.010550168382618352e+00 0.000000000000000000e+00
2.010650913250367378e+00 0.000000000000000000e+00
2.010751663166251202e+00 0.000000000000000000e+00
2.010852418130522956e+00 0.000000000000000000e+00
2.010953178143435327e+00 0.000000000000000000e+00
2.011053943205241890e+00 0.000000000000000000e+00
2.011154713316194442e+00 0.000000000000000000e+00
2.011255488476547448e+00 0.000000000000000000e+00
2.011356268686552706e+00 0.000000000000000000e+00
2.011457053946464235e+00 0.000000000000000000e+00
2.011557844256534278e+00 0.000000000000000000e+00
2.011658639617015965e+00 0.000000000000000000e+00
2.011759440028162871e+00 0.000000000000000000e+00
2.011860245490227683e+00 0.000000000000000000e+00
2.011961056003463977e+00 0.000000000000000000e+00
2.012061871568123994e+00 0.000000000000000000e+00
2.012162692184461754e+00 0.000000000000000000e+00
2.012263517852729944e+00 0.000000000000000000e+00
2.012364348573181694e+00 0.000000000000000000e+00
2.012465184346070135e+00 0.000000000000000000e+00
2.012566025171648398e+00 0.000000000000000000e+00
2.012666871050170059e+00 0.000000000000000000e+00
2.012767721981887803e+00 0.000000000000000000e+00
2.012868577967055206e+00 0.000000000000000000e+00
2.012969439005924954e+00 0.000000000000000000e+00
2.013070305098751067e+00 0.000000000000000000e+00
2.013171176245786675e+00 0.000000000000000000e+00
2.013272052447284022e+00 0.000000000000000000e+00
2.013372933703497569e+00 0.000000000000000000e+00
2.013473820014680005e+00 0.000000000000000000e+00
